title,artist,artistBio,gender,date,medium,artUrl,imageUrl
"The Three Windows, the Tower and the Wheel",Robert Delaunay,"French, 1885–1941",Male,1912,Oil on canvas,http://www.moma.org/collection/works/79487,http://www.moma.org/media/W1siZiIsIjE1MDE5MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=bb3ea7e87d53cde5
Windows,Robert Delaunay,"French, 1885–1941",Male,Paris 1912,Oil and wax on canvas,http://www.moma.org/collection/works/80024,http://www.moma.org/media/W1siZiIsIjE1MDE5NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=a7b2378c1388a3dd
Dwarf,William Baziotes,"American, 1912–1963",Male,1947,Oil on canvas,http://www.moma.org/collection/works/79203,http://www.moma.org/media/W1siZiIsIjE1MDEwNCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=e3ed5c8303b09820
Inscription 4026 B.C.,Enrico Donati,"American, born Italy. 1909–2008",Male,1962,Oil and sand on canvas,http://www.moma.org/collection/works/78684,http://www.moma.org/media/W1siZiIsIjE1MDg3NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=e0d2fd4ad8b27423
Red and Blue Disks,František Kupka,"Czech, 1871–1957",Male,1911? (dated on painting 1911-12),Oil on canvas,http://www.moma.org/collection/works/78970,http://www.moma.org/media/W1siZiIsIjE1MDg4OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=77c7a7b2a4953231
Phases of the Moon,Paul Delvaux,"Belgian, 1897–1994",Male,March 1939,Oil on canvas,http://www.moma.org/collection/works/79848,http://www.moma.org/media/W1siZiIsIjE1MDg5NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=5238c024edb36002
Childbirth,Jean Dubuffet,"French, 1901–1985",Male,March 1944,Oil on canvas,http://www.moma.org/collection/works/78782,http://www.moma.org/media/W1siZiIsIjE1MDk0MCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=b452fabf7033f4ba
That Is It,Alfred Jensen,"American, born Guatemala of Danish parents. 1903–1981",Male,1966,Oil on canvas,http://www.moma.org/collection/works/80495,http://www.moma.org/media/W1siZiIsIjE1MDk0MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=bc454b6e6845854f
Southern California,Elizabeth Murray,"American, 1940–2007",Female,1976,Oil on canvas,http://www.moma.org/collection/works/84185,http://www.moma.org/media/W1siZiIsIjE1MDk0MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=9b1a59a963301210
Soft Pressure,Vasily Kandinsky,"French, born Russia. 1866–1944",Male,1931,Oil on plywood,http://www.moma.org/collection/works/80496,http://www.moma.org/media/W1siZiIsIjE1MDk0MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=00e8639068192dcb
